File_Type,GValue
File_Version,2
GP,
MTP_Type,24Wells_Square
MTP_Wells_X,6
MTP_Wells_Y,4
Timestamp,20210507_171028
MTP,3
Plate-ID,
Cal File Used,cal_white24square
Well_Distance_X_MM,18
Well_Distance_Y_MM,18
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,6,0
Rectangle_Spot_Size_Y_MM,6,0
Deviation_From_Center_X_MM,0,0
Deviation_From_Center_Y_MM,0,0
Deviation_From_Perfect_Parallelness_DEG,0,0
Geometric_Correction_MM,0,60
Ignore_Top_G_Pixel_Percent,25,0
Ignore_Bottom_G_Pixel_Percent,10,0

Time (min),A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,,Input_Image
"2438,25","160,771","158,408","121,754","159,032","158,637","163,374","165,660","162,070","158,147","159,128","161,936","167,250","170,788","162,169","167,045","167,961","169,204","173,807","7,965","9,657","10,661","9,979","9,297","8,484",,mtp03_20210509_094838.bmp
"2468,25","161,209","158,616","122,075","159,427","158,480","162,979","165,851","162,336","158,129","159,141","161,829","167,089","170,914","162,177","166,967","167,984","168,990","173,392","7,915","9,634","10,623","9,944","9,217","8,447",,mtp03_20210509_101836.bmp
"2498,25","161,421","158,762","122,388","159,331","158,258","163,431","165,880","162,111","157,972","159,255","161,877","167,284","171,038","162,024","167,041","167,760","168,971","173,465","7,862","9,623","10,612","9,974","9,246","8,399",,mtp03_20210509_104837.bmp
"2528,25","161,299","159,013","120,803","159,433","158,396","162,996","166,032","162,284","157,974","159,164","161,819","167,283","170,906","162,118","166,985","167,852","168,952","173,555","7,940","9,656","10,668","10,017","9,263","8,481",,mtp03_20210509_111836.bmp
"2558,25","161,105","158,889","120,904","159,295","158,487","162,965","166,054","162,218","157,897","159,270","161,716","167,336","170,927","161,951","167,051","167,789","168,797","173,604","7,914","9,691","10,631","10,042","9,322","8,479",,mtp03_20210509_114836.bmp
"2588,25","161,554","158,960","121,391","159,537","158,428","163,083","165,738","162,208","157,862","159,082","161,648","167,183","170,924","161,846","167,024","167,533","168,837","173,450","7,922","9,665","10,639","9,994","9,285","8,466",,mtp03_20210509_121837.bmp
"2618,25","161,540","159,253","122,186","159,331","158,513","163,601","166,015","162,065","157,841","159,025","161,408","167,302","171,070","161,869","166,932","167,669","168,893","173,595","7,937","9,678","10,639","10,016","9,257","8,497",,mtp03_20210509_124836.bmp
"2648,25","161,712","159,413","121,271","159,577","158,592","163,263","165,839","162,231","157,791","158,912","161,455","167,124","170,825","161,740","166,915","167,040","168,487","173,264","7,934","9,696","10,648","10,011","9,290","8,527",,mtp03_20210509_131837.bmp
"2678,25","161,979","159,484","122,345","159,628","158,738","163,816","165,833","162,108","157,845","158,893","161,190","167,191","170,828","161,628","166,841","167,099","168,332","173,346","7,892","9,644","10,647","9,975","9,198","8,375",,mtp03_20210509_134836.bmp
"2708,25","162,097","159,688","121,995","159,456","158,746","163,787","166,161","162,166","157,820","158,906","161,180","167,148","170,937","161,664","166,955","166,988","168,217","173,216","7,904","9,626","10,624","10,001","9,202","8,390",,mtp03_20210509_141838.bmp
"2738,25","161,940","159,403","122,230","159,514","158,520","163,465","166,194","162,044","157,813","158,775","161,079","167,150","170,878","161,350","166,676","166,723","168,030","173,172","7,902","9,626","10,594","9,982","9,208","8,400",,mtp03_20210509_144837.bmp
"2768,25","162,532","159,715","122,334","159,955","158,705","163,722","165,632","162,033","157,836","158,859","160,943","167,113","170,675","161,421","166,506","166,645","167,833","173,129","7,879","9,675","10,605","9,963","9,243","8,426",,mtp03_20210509_151837.bmp
"2798,25","161,649","160,042","122,143","159,824","158,568","163,388","165,623","161,990","157,613","158,755","160,719","167,085","170,856","161,138","166,645","166,401","167,796","173,080","7,915","9,600","10,626","9,987","9,205","8,414",,mtp03_20210509_154837.bmp
